N,P,K,ph,label
50,21,59,6.337787621119844,onion
53,35,53,6.590346716567282,onion
50,25,50,6.8,tobacco
46,31,54,6.801007813994662,tobacco
53,35,59,7.1256948182320246,tobacco
50,75,25,6.2,cottonlint
45,70,35,6.1601821188693995,cottonlint
41,80,30,6.1772923487572395,cottonlint
50,75,25,6.2,dry_chillies
46,80,16,5.843322226386165,dry_chillies
52,85,33,6.269101202326353,dry_chillies
50,75,25,6.2,garlic
56,74,20,5.997676978491653,garlic
52,71,20,6.048677297750239,garlic
50,75,25,6.2,ginger
44,77,34,6.091723469597816,ginger
53,66,35,6.664552600310102,ginger
50,75,25,6.2,sugarcane
42,80,16,6.6289772799294076,sugarcane
51,72,23,6.04888544683548,sugarcane
50,75,25,6.2,onion
42,66,26,6.130626057724477,onion
42,84,33,6.337531697538732,onion
50,75,25,6.2,potato
42,82,23,6.588289446077553,potato
50,66,24,6.202367277754611,potato
50,75,25,6.2,turmeric
42,67,15,5.735011358826448,turmeric
56,70,23,6.64311136250713,turmeric
50,75,75,6.3,cottonlint
42,66,66,6.468281355999934,cottonlint
59,68,78,6.3746287580047785,cottonlint
50,75,75,6.3,dry_chillies
56,68,84,5.957291583466378,dry_chillies
42,81,69,6.236995400615072,dry_chillies
50,75,75,6.3,garlic
55,70,71,6.180771125583274,garlic
47,82,71,6.534717021404865,garlic
50,75,75,6.3,ginger
53,72,82,6.279613885240473,ginger
45,71,71,6.163610858022933,ginger
50,75,75,6.3,turmeric
58,82,76,6.6322243335363655,turmeric
43,76,73,6.6048047267049705,turmeric
50,75,75,6.3,sugarcane
54,81,69,6.740451626473887,sugarcane
59,76,73,6.683259375977541,sugarcane
50,75,75,6.3,coriander
52,73,65,6.5277697892342905,coriander
51,72,81,6.414485292461261,coriander
50,75,75,6.3,onion
55,76,75,6.791831135611271,onion
50,70,67,6.238491824331704,onion
50,75,75,6.3,potato
59,65,68,6.1802769183805335,potato
53,73,79,5.886990999886872,potato
50,75,75,6.3,sannhamp
42,82,74,6.2528173531350975,sannhamp
57,84,69,6.745655191688323,sannhamp
75,75,75,6.5,dry_chillies
80,71,66,6.8319798790889195,dry_chillies
69,66,79,6.7367654084206094,dry_chillies
75,75,75,6.5,onion
74,81,65,6.194724333053311,onion
67,76,76,6.5666072971947225,onion
75,75,75,6.5,potato
80,73,82,6.95325860307924,potato
69,72,69,6.120575117739654,potato
75,75,75,6.5,other_fresh_fruits
76,66,82,6.669348250545432,other_fresh_fruits
80,78,74,6.12230913703872,other_fresh_fruits
75,75,75,6.5,other_vegetables
66,80,85,6.223422368548736,other_vegetables
76,73,77,6.906416379207738,other_vegetables
25,25,75,6.8,potato
29,28,81,6.450047699320155,potato
17,27,72,6.520028791044168,potato
25,25,75,6.8,other_fresh_fruits
15,29,72,6.632316929543881,other_fresh_fruits
33,30,72,6.551340859996015,other_fresh_fruits
25,25,75,6.8,other_vegetables
29,31,85,6.914312680390005,other_vegetables
33,19,74,6.38942571116817,other_vegetables
50,25,50,7.3,garlic
40,31,47,6.9002751224887815,garlic
49,18,42,7.349486948907783,garlic
50,25,50,7.3,onion
60,30,56,7.378523273509643,onion
47,19,58,6.8563038145700235,onion
50,25,50,7.3,potato
50,28,56,6.98808561377113,potato
55,18,45,7.453651079237871,potato
50,25,50,7.3,other_fresh_fruits
56,20,54,6.894251930697343,other_fresh_fruits
40,20,60,7.363700290849594,other_fresh_fruits
50,25,50,7.3,other_vegetables
50,27,43,7.3488103991765374,other_vegetables
59,32,40,7.57499169301419,other_vegetables
75,50,50,6.9,sugarcane
68,60,49,7.280070589269851,sugarcane
85,51,44,6.479380625164824,sugarcane
75,50,50,6.9,garlic
69,46,44,7.393025569765876,garlic
85,54,57,7.149901570490282,garlic
75,50,50,6.9,sannhamp
70,56,43,7.2118971579416185,sannhamp
84,46,54,7.18574188352856,sannhamp
75,50,50,6.9,tobacco
68,45,40,6.60413432070947,tobacco
80,47,52,6.791500725546258,tobacco
75,50,50,6.9,potato
84,51,55,7.126852893902017,potato
79,56,54,7.21536687101725,potato
75,50,50,6.9,onion
80,59,45,6.7281582140318275,onion
67,57,60,6.6982117185713514,onion
75,50,50,6.9,other_fresh_fruits
82,48,50,6.514060700011768,other_fresh_fruits
71,50,55,7.380567330116148,other_fresh_fruits
75,50,50,6.9,other_vegetables
68,59,57,6.536775654488729,other_vegetables
79,42,45,6.943451448553026,other_vegetables
75,50,50,6.9,other_oilseeds
70,51,49,7.132340931264312,other_oilseeds
82,44,50,6.713012210210469,other_oilseeds
50,50,25,6.0,sugarcane
54,45,27,5.982860535513181,sugarcane
56,40,15,6.461406949904422,sugarcane
50,50,25,6.0,dry_chillies
42,53,29,5.8215742269898785,dry_chillies
49,47,33,5.805225951135541,dry_chillies
50,50,25,6.0,garlic
50,58,21,6.074657438296655,garlic
53,54,19,5.92720695479689,garlic
50,50,25,6.0,sannhamp
40,58,34,5.6922860212146595,sannhamp
58,47,22,5.620579164443411,sannhamp
50,50,25,6.0,tobacco
60,42,34,6.406531705665197,tobacco
56,58,22,6.002563516665671,tobacco
50,50,25,6.0,turmeric
48,54,17,6.279447785291879,turmeric
56,48,18,6.32080107532946,turmeric
50,50,25,6.0,onion
44,47,31,5.991696555010541,onion
46,50,31,5.995867509480549,onion
50,50,25,6.0,potato
54,44,20,6.297109409490682,potato
48,43,24,6.008245103816527,potato
50,50,25,6.0,other_fresh_fruits
51,44,16,5.882286313463786,other_fresh_fruits
47,41,33,5.92656137606829,other_fresh_fruits
50,50,25,6.0,other_vegetables
47,55,35,5.923306174928179,other_vegetables
59,45,15,5.908517845651428,other_vegetables
50,50,25,7.6,sugarcane
47,49,17,7.268591361252899,sugarcane
53,42,31,7.439625268324301,sugarcane
50,50,50,6.7,potato
54,47,40,7.129381482285931,potato
46,59,45,6.255033014142977,potato
50,50,50,6.7,other_fresh_fruits
40,42,52,6.2586337970025205,other_fresh_fruits
60,49,49,7.178183602247185,other_fresh_fruits
50,50,50,6.7,other_vegetables
53,44,44,7.1827968063331475,other_vegetables
46,49,40,6.228123455309713,other_vegetables
50,75,75,5.9,dry_chillies
40,65,73,6.001848089872959,dry_chillies
59,79,77,6.100399472942743,dry_chillies
50,75,75,5.9,garlic
51,71,78,6.369666951306599,garlic
58,71,80,5.964811456069472,garlic
50,75,75,5.9,sannhamp
42,68,77,5.535375562938071,sannhamp
41,79,66,6.090073443797506,sannhamp
50,75,75,5.9,potato
46,69,77,5.74936161756659,potato
43,67,81,5.691271245515437,potato
50,75,75,5.9,other_fresh_fruits
45,81,82,5.748971008464248,other_fresh_fruits
50,65,76,5.751151101722632,other_fresh_fruits
50,75,75,5.9,other_vegetables
41,78,76,6.3338521499674165,other_vegetables
56,75,73,6.16100598187999,other_vegetables
50,50,50,5.8,other_fresh_fruits
51,59,42,5.582767055113889,other_fresh_fruits
40,60,54,6.093940121333299,other_fresh_fruits
50,50,50,5.8,other_vegetables
47,49,49,5.996210795311674,other_vegetables
56,48,43,5.749955062276301,other_vegetables
50,50,75,6.5,sugarcane
58,50,78,6.729985156607958,sugarcane
51,58,82,6.291608363160186,sugarcane
75,25,50,5.6,dry_chillies
76,30,56,5.307031979819379,dry_chillies
76,23,48,5.781897503636498,dry_chillies
75,25,50,5.6,garlic
70,20,60,5.122621069450986,garlic
71,29,57,5.314547926164254,garlic
75,25,50,5.6,onion
72,33,56,5.499503011275342,onion
73,31,52,5.40401750305327,onion
75,25,50,5.6,potato
77,26,55,5.990175879835128,potato
70,28,54,5.716805446138518,potato
75,25,50,5.6,other_fresh_fruits
71,17,51,6.070804402493421,other_fresh_fruits
69,22,55,5.49692865630814,other_fresh_fruits
75,25,50,5.6,other_vegetables
83,31,44,5.194146004755762,other_vegetables
84,18,54,5.5090196700891045,other_vegetables
75,25,50,5.6,redish
69,31,40,5.716742024267071,redish
68,18,51,5.180256090237478,redish
75,25,50,5.6,turnip
77,24,55,5.5149732731471985,turnip
79,35,45,5.279872951845314,turnip
75,25,50,5.6,other_oilseeds
83,30,51,5.763273107054914,other_oilseeds
67,24,60,5.149583178153095,other_oilseeds
50,25,75,5.7,sugarcane
60,16,78,5.391940824657113,sugarcane
46,32,82,5.390703057268898,sugarcane
50,25,75,5.7,dry_chillies
54,18,66,5.328230813407397,dry_chillies
47,31,76,6.045293836420462,dry_chillies
50,25,75,5.7,garlic
45,19,75,5.504873625114198,garlic
50,35,83,5.470686249117872,garlic
50,25,75,5.7,sannhamp
54,19,68,6.121545675297248,sannhamp
58,28,79,5.683456851280086,sannhamp
50,25,75,5.7,turmeric
44,21,80,5.961099677547599,turmeric
41,34,78,5.765425703101142,turmeric
50,25,75,5.7,onion
45,16,76,6.03137621114524,onion
44,32,77,5.450882875822339,onion
50,25,75,5.7,potato
42,32,70,5.641929913440975,potato
55,24,84,5.330158695297781,potato
50,25,75,5.7,tobacco
48,17,75,5.639267203557342,tobacco
54,18,80,5.24627391929444,tobacco
50,25,75,5.7,other_vegetables
53,31,75,5.288690914008331,other_vegetables
57,22,75,5.255356817731459,other_vegetables
25,50,50,6.8,onion
33,49,56,6.482594800088396,onion
21,58,58,7.052350962933919,onion
25,50,50,6.8,potato
27,49,45,6.497685019918894,potato
28,40,59,6.342267047817045,potato
25,50,50,6.8,ragi
25,44,51,6.45287071531266,ragi
21,48,58,6.694295827016448,ragi
25,50,50,6.8,sugarcane
17,52,50,6.656043167753671,sugarcane
22,59,43,6.915580999172887,sugarcane
25,50,50,6.8,sweet_potato
23,44,47,7.006348114176469,sweet_potato
30,57,51,6.640824130350077,sweet_potato
25,50,50,6.8,sannhamp
33,53,60,6.904081398327809,sannhamp
23,54,44,7.218559980618943,sannhamp
75,50,50,7.1,dry_chillies
69,57,40,7.442425076537733,dry_chillies
65,40,50,7.12222331267824,dry_chillies
75,50,50,7.1,garlic
77,46,46,7.192077094959522,garlic
72,48,48,7.038905723125877,garlic
75,50,50,7.1,onion
73,55,46,6.652967991868763,onion
84,44,47,7.217148528789746,onion
75,50,50,7.1,potato
72,49,46,7.599609561277109,potato
84,51,47,6.766379433753787,potato
75,50,50,7.1,ragi
83,45,53,7.0420904420299895,ragi
76,54,40,7.469412536156798,ragi
75,50,50,7.1,sugarcane
65,45,47,6.6270727446063535,sugarcane
76,46,59,7.373092689263223,sugarcane
75,25,50,7.2,onion
73,21,59,6.984231177730145,onion
82,18,56,7.259892313190216,onion
75,25,50,7.2,potato
66,33,45,7.274340540670344,potato
77,25,56,7.090070009506388,potato
75,25,50,7.2,ragi
65,18,53,6.80161162790593,ragi
72,34,48,7.029947026680876,ragi
75,25,50,7.2,sannhamp
71,19,47,7.411583434180508,sannhamp
72,25,48,7.125263934030355,sannhamp
75,25,50,7.2,dry_chillies
77,29,48,7.377655489974703,dry_chillies
81,27,44,7.259425779068617,dry_chillies
25,25,25,5.6,onion
19,29,34,5.1164843834027245,onion
33,19,21,6.0544935210995074,onion
25,25,25,5.6,potato
19,28,33,5.426162303601078,potato
30,22,20,5.73315185093089,potato
25,25,25,5.6,ragi
23,22,30,5.758866784965578,ragi
20,16,19,5.210937018071904,ragi
25,25,25,5.6,sugarcane
32,35,29,5.10246334046526,sugarcane
19,35,23,6.022387863415318,sugarcane
50,75,50,5.8,dry_chillies
54,66,47,5.413757093046302,dry_chillies
54,65,56,5.942939772787943,dry_chillies
50,75,50,5.8,onion
53,73,53,5.690781247225309,onion
53,76,48,5.56214388329968,onion
50,75,50,5.8,potato
51,73,40,6.100762216157783,potato
49,85,50,5.922744064878464,potato
50,75,50,5.8,ragi
58,67,49,5.498879625472414,ragi
51,67,41,5.482286807928827,ragi
50,75,50,5.8,sannhamp
60,74,48,6.0803329197017995,sannhamp
45,66,58,5.3461672688615645,sannhamp
50,75,50,5.8,sugarcane
41,74,56,5.46304505028709,sugarcane
53,81,49,5.918899293945462,sugarcane
50,75,50,5.8,sweet_potato
42,66,46,5.916392050457789,sweet_potato
57,69,50,6.229738682307932,sweet_potato
50,75,50,5.8,tobacco
58,74,56,5.821910988628446,tobacco
45,72,57,5.477503741810722,tobacco
75,25,25,6.1,coriander
85,34,30,5.612555645896075,coriander
74,19,23,5.67300900230145,coriander
75,25,25,6.1,dry_chillies
70,23,26,6.218137534336157,dry_chillies
82,26,29,5.879688467276132,dry_chillies
75,25,25,6.1,garlic
84,30,15,5.654560201840399,garlic
71,34,18,6.408494276516608,garlic
75,25,25,6.1,onion
65,32,23,6.568296409917849,onion
70,18,35,6.465484000673558,onion
75,25,25,6.1,potato
71,23,19,5.975373093639628,potato
83,27,20,6.526788409696955,potato
75,25,25,6.1,ragi
81,29,35,5.700045135290302,ragi
78,23,25,6.58590177845904,ragi
75,25,25,6.1,sannhamp
85,32,19,6.10752926645944,sannhamp
75,23,31,6.540201857492483,sannhamp
75,25,25,6.1,sugarcane
66,27,35,6.458265610374364,sugarcane
70,15,15,5.97576345416321,sugarcane
75,25,25,6.1,sweet_potato
81,18,24,6.178399687144684,sweet_potato
84,34,35,5.966496590737255,sweet_potato
75,25,25,6.1,ginger
84,21,15,5.991843032143148,ginger
66,18,35,5.968157699686944,ginger
50,50,75,6.4,dry_chillies
41,46,68,6.574603141545798,dry_chillies
54,53,74,6.655933290919777,dry_chillies
50,50,75,6.4,onion
41,45,65,6.607244913853564,onion
42,54,85,6.399927264493728,onion
50,50,75,6.4,potato
53,57,75,6.5632575725609055,potato
57,44,69,6.153713420451626,potato
50,50,75,6.4,ragi
47,54,73,5.987989868269922,ragi
40,55,79,6.797161091827847,ragi
50,50,75,6.4,sugarcane
57,43,67,6.220656695793712,sugarcane
59,50,74,6.682753770779454,sugarcane
50,50,75,6.4,sannhamp
57,52,71,6.061724523093887,sannhamp
58,58,65,6.693508831159211,sannhamp
75,25,75,7.5,dry_chillies
75,27,83,7.819216427874099,dry_chillies
82,20,84,7.228347905084943,dry_chillies
75,25,75,7.5,onion
81,25,85,7.944836659282176,onion
74,23,84,7.0130773459428335,onion
75,25,75,7.5,potato
76,18,78,7.631887179781277,potato
67,23,71,7.446883111050067,potato
75,25,75,7.5,ragi
85,16,82,7.312895518692399,ragi
74,27,74,7.7971039675644604,ragi
75,25,75,7.5,sannhamp
72,22,66,7.636895016682951,sannhamp
79,23,73,7.603904633013622,sannhamp
75,25,75,7.5,sugarcane
77,32,73,7.2699207608465,sugarcane
73,17,76,7.087214272516185,sugarcane
75,25,75,7.5,sweet_potato
84,32,84,7.846824750713217,sweet_potato
65,19,79,7.7874454574212,sweet_potato
50,25,25,6.9,banana
52,35,30,7.028225192491131,banana
47,27,21,6.964239900729215,banana
50,25,25,6.9,coriander
41,35,27,6.980832824260048,coriander
41,22,32,6.992429697896908,coriander
50,25,25,6.9,dry_chillies
51,23,18,6.573365029728734,dry_chillies
42,28,26,7.039715638820283,dry_chillies
50,25,25,6.9,garlic
51,18,19,7.038657794277662,garlic
60,20,20,6.561169519529047,garlic
50,25,25,6.9,onion
58,26,16,7.250021712581704,onion
54,28,31,6.907896592433176,onion
50,25,25,6.9,potato
56,24,17,6.6804885604041475,potato
47,21,32,6.868030402781856,potato
50,25,25,6.9,ragi
53,22,33,6.499537609770963,ragi
58,15,33,7.360684195938239,ragi
50,25,25,6.9,sannhamp
52,33,34,6.995952622153071,sannhamp
46,18,28,7.391134232566468,sannhamp
50,25,25,6.9,sweet_potato
53,34,33,6.6584966365009235,sweet_potato
43,31,34,6.612447628714958,sweet_potato
50,25,25,6.9,ginger
51,23,16,6.943876562160482,ginger
42,26,18,6.887245577520508,ginger
50,25,25,6.9,sugarcane
42,20,19,7.096483848878628,sugarcane
41,32,15,7.197082819392614,sugarcane
50,25,50,5.6,dry_chillies
58,32,48,5.821306890993361,dry_chillies
40,15,47,5.138330780193815,dry_chillies
50,25,50,5.6,garlic
59,28,52,5.968940330426339,garlic
57,29,49,5.46126370195052,garlic
50,25,50,5.6,onion
54,22,59,5.5392879903876375,onion
55,19,53,5.731927788840827,onion
50,25,50,5.6,potato
44,33,44,5.515893920726337,potato
58,33,41,5.22835666770405,potato
50,25,50,5.6,ragi
53,26,45,5.9283383646144205,ragi
56,19,40,6.090057298913182,ragi
50,25,50,5.6,sugarcane
45,25,48,5.205496681683572,sugarcane
47,31,52,5.594971834514962,sugarcane
50,25,50,5.6,sweet_potato
44,30,50,6.056306573793895,sweet_potato
55,18,54,5.121806888460863,sweet_potato
50,25,50,5.6,coriander
48,26,44,5.809962127859717,coriander
46,18,51,5.6382998187541515,coriander
75,50,50,7.8,sugarcane
72,56,50,7.6400503668233375,sugarcane
77,58,57,8.297470101173191,sugarcane
50,75,50,7.3,banana
45,66,54,7.2537016242516446,banana
51,75,53,7.6429542566767985,banana
50,75,50,7.3,coriander
56,67,54,7.438521163128975,coriander
55,82,54,7.144334417799945,coriander
50,75,50,7.3,garlic
58,72,56,7.223511389011131,garlic
54,85,58,7.645909806318453,garlic
50,75,50,7.3,onion
54,83,43,7.440228034171124,onion
50,70,48,7.2359416264241165,onion
50,75,50,7.3,ragi
52,80,53,7.431567428315616,ragi
48,71,59,7.664796041448223,ragi
50,75,50,7.3,sannhamp
55,75,41,7.647428654993733,sannhamp
50,70,49,7.277348366360007,sannhamp
50,75,50,7.3,sweet_potato
58,85,55,7.288638778940512,sweet_potato
60,73,57,7.578225234327805,sweet_potato
50,75,50,7.3,tobacco
48,83,52,6.994890320938515,tobacco
49,66,50,7.119901712261656,tobacco
75,50,75,7.4,coriander
85,42,74,7.113490410035416,coriander
72,54,84,7.317004926128546,coriander
75,50,75,7.4,garlic
65,58,73,7.655678456979417,garlic
65,44,65,7.543874504316812,garlic
75,50,75,7.4,onion
76,44,85,7.536587646196722,onion
68,41,66,7.40873801946601,onion
75,50,75,7.4,potato
65,40,66,7.473862171544581,potato
79,57,80,7.294331539664338,potato
75,50,75,7.4,ragi
74,44,83,7.000881496578789,ragi
72,56,82,7.668627227277488,ragi
75,50,75,7.4,sannhamp
84,57,77,7.520233755624409,sannhamp
83,52,72,6.988331160046249,sannhamp
75,50,75,7.4,sugarcane
72,57,77,7.7352025651265155,sugarcane
80,60,69,7.594490931102616,sugarcane
25,25,50,5.1,coriander
27,31,48,5.17382119189838,coriander
32,33,53,4.8688752770720685,coriander
25,25,50,5.1,dry_chillies
23,32,51,4.7053441897787724,dry_chillies
22,18,54,5.584613385782681,dry_chillies
25,25,50,5.1,garlic
22,20,41,4.912740519941055,garlic
23,24,58,4.724669701266984,garlic
25,25,50,5.1,onion
31,24,48,5.26492704688581,onion
27,23,49,5.232798990026503,onion
25,25,50,5.1,potato
17,27,45,4.714776900865328,potato
30,32,41,4.722385993983404,potato
25,25,50,5.1,ragi
16,24,41,5.1560949315139055,ragi
30,17,44,5.557726211728133,ragi
25,25,50,5.1,sannhamp
29,31,59,4.923748291754309,sannhamp
15,25,60,5.1623636924317955,sannhamp
25,25,50,5.1,sugarcane
18,18,43,5.528266543865891,sugarcane
33,16,54,4.789450306442438,sugarcane
25,25,50,5.1,sweet_potato
30,25,54,5.5812554905970035,sweet_potato
33,15,52,5.2265425036986795,sweet_potato
25,25,50,5.1,turmeric
29,33,53,5.506724520530692,turmeric
18,19,60,5.349511564631727,turmeric
25,50,75,6.0,banana
28,45,76,6.335395013081639,banana
26,53,84,6.454199361880571,banana
25,50,75,6.0,coriander
24,53,80,6.258684420365608,coriander
19,59,69,5.6988428050129425,coriander
25,50,75,6.0,dry_chillies
24,54,77,6.08864481013974,dry_chillies
28,44,81,6.094147257912512,dry_chillies
25,50,75,6.0,garlic
29,56,73,6.208529596938172,garlic
25,60,66,6.27388731148922,garlic
25,50,75,6.0,onion
16,60,82,5.501059667943648,onion
24,57,67,5.741835416124851,onion
25,50,75,6.0,potato
35,50,82,5.79863863919988,potato
20,60,80,5.552008578675606,potato
25,50,75,6.0,ragi
35,50,74,6.2154201063062295,ragi
29,47,77,5.54979874757635,ragi
25,50,75,6.0,sannhamp
34,52,84,6.093952291336824,sannhamp
23,60,68,5.765190089541417,sannhamp
25,50,75,6.0,sugarcane
22,49,75,6.399299354262558,sugarcane
17,51,73,5.964098632247183,sugarcane
25,50,75,6.0,sweet_potato
34,54,85,5.658354463142018,sweet_potato
20,52,80,5.859372193746353,sweet_potato
25,50,75,6.0,turmeric
21,49,74,5.692869611663963,turmeric
25,53,66,5.729000286171552,turmeric
25,50,75,6.0,ginger
22,53,74,5.509773737278591,ginger
16,58,81,5.5760763306028664,ginger
25,50,75,6.0,tobacco
30,40,72,5.916064687548154,tobacco
28,58,76,6.275115361878001,tobacco
75,50,50,5.2,sugarcane
67,42,59,5.260283541855179,sugarcane
70,43,58,4.844319940472192,sugarcane
50,50,50,6.0,ragi
52,42,60,6.384383809257343,ragi
40,54,41,6.47502768786737,ragi
50,50,50,6.0,sannhamp
48,41,40,6.343030617434721,sannhamp
48,42,55,5.695070313670627,sannhamp
50,50,50,6.0,sweet_potato
55,49,43,5.874342270346101,sweet_potato
43,56,48,6.363137881263331,sweet_potato
25,50,75,7.3,arecanut
20,54,67,7.092082873538802,arecanut
28,59,69,6.950802113993419,arecanut
25,50,75,7.3,coriander
20,54,70,7.51654291899473,coriander
18,40,70,7.621712304110798,coriander
25,50,75,7.3,dry_chillies
23,59,73,7.134292217445392,dry_chillies
17,49,75,7.010463991482792,dry_chillies
25,50,75,7.3,garlic
19,43,72,7.52152834590243,garlic
32,40,85,6.9178874702399185,garlic
25,50,75,7.3,turmeric
20,54,82,6.805509581306072,turmeric
30,56,74,6.9918145387344515,turmeric
25,50,75,7.3,banana
25,40,71,7.234316760006044,banana
20,59,76,7.523316571635229,banana
25,50,75,7.3,onion
21,58,66,7.535949359633191,onion
18,57,77,7.633047249745064,onion
25,50,75,7.3,sugarcane
21,55,81,7.4090513406786425,sugarcane
16,50,80,7.271728819477159,sugarcane
25,50,75,7.3,sweet_potato
28,46,82,7.157412838148971,sweet_potato
28,51,66,7.630538390492859,sweet_potato
25,50,75,7.3,sannhamp
19,52,65,7.141684252760635,sannhamp
16,45,78,7.777881999800478,sannhamp
25,50,75,7.3,arcanut_processed
22,43,82,7.153737392959489,arcanut_processed
31,44,65,7.623672017923084,arcanut_processed
25,50,75,7.3,atcanut_raw
34,58,83,7.727814285876222,atcanut_raw
33,52,84,7.171451557735618,atcanut_raw
25,50,75,7.3,brinjal
30,50,83,7.5755262134409485,brinjal
27,51,83,7.172606246488329,brinjal
25,50,75,7.3,citrus_fruit
30,44,70,7.0125446370556155,citrus_fruit
24,53,67,7.291438024740332,citrus_fruit
25,50,75,7.3,grapes
23,52,71,7.57005088735683,grapes
35,57,73,7.373943252094113,grapes
25,50,75,7.3,mango
22,51,72,7.005065428943024,mango
33,54,68,6.813010587522958,mango
25,50,75,7.3,other_fresh_fruits
21,60,81,7.543968517453805,other_fresh_fruits
16,50,78,7.017886895867458,other_fresh_fruits
25,50,75,7.3,papaya
28,52,69,7.163302800291726,papaya
35,45,72,7.740539705480823,papaya
25,50,75,7.3,pome_fruit
28,54,65,7.207630101437536,pome_fruit
21,45,68,7.3933405302122335,pome_fruit
25,50,75,7.3,tomato
26,44,72,7.141609002292917,tomato
33,46,71,7.035966575639659,tomato
25,50,75,7.3,cottonlint
22,56,81,6.901961882363085,cottonlint
28,55,80,7.713554829547272,cottonlint
25,50,75,7.3,mesta
34,45,83,7.698710057983608,mesta
35,60,84,7.5995294743747195,mesta
25,50,75,7.3,cashewnut
18,54,66,6.879555337418551,cashewnut
22,44,73,7.223787218700253,cashewnut
25,50,75,7.3,tobacco
24,58,77,7.580550985942946,tobacco
33,53,82,7.710403709798223,tobacco
25,50,75,7.3,black_pepper
15,46,80,7.484465111392092,black_pepper
23,52,74,7.014757843487496,black_pepper
25,50,75,7.3,ginger
19,46,78,7.144240263157959,ginger
19,54,73,7.724748953364361,ginger
25,50,75,7.3,tapioca
22,50,82,7.435186115722294,tapioca
33,51,72,7.565471711007493,tapioca
25,50,75,7.3,cardamom
24,46,79,7.15472040800149,cardamom
35,51,65,7.731180469988565,cardamom
25,50,75,7.3,coconut
23,50,75,7.713138053739793,coconut
25,56,70,7.786122724403479,coconut
25,50,75,7.3,dry_ginger
27,51,75,7.092820468378584,dry_ginger
23,57,65,7.056481115230163,dry_ginger
50,25,50,7.1,arecanut
56,35,50,7.27526344792851,arecanut
60,27,40,7.388138640115487,arecanut
50,25,50,7.1,coriander
44,31,54,7.34225157827805,coriander
46,35,54,7.120925729683481,coriander
50,25,50,7.1,garlic
55,17,54,7.237461946414042,garlic
43,21,48,6.658098661820427,garlic
50,25,50,7.1,sugarcane
46,18,40,6.887019635937729,sugarcane
55,33,59,6.84608901563654,sugarcane
50,25,50,7.1,turmeric
60,31,58,7.4574196749515576,turmeric
50,25,59,6.814987762466559,turmeric
50,25,50,7.1,dry_chillies
52,19,49,7.218003406966667,dry_chillies
48,15,53,7.48792235411663,dry_chillies
50,25,50,7.1,potato
57,29,47,6.802042584285766,potato
55,23,57,7.298566724342802,potato
50,25,50,7.1,banana
42,28,42,6.615519804949123,banana
48,24,57,7.099174516856097,banana
50,25,50,7.1,onion
47,25,54,7.434571523335627,onion
50,29,44,6.909603115647577,onion
50,25,50,7.1,peas_beans_pulses
59,35,44,7.174185892004667,peas_beans_pulses
41,21,55,6.849716903767062,peas_beans_pulses
50,25,50,7.1,arcanut_processed
47,33,56,7.403766146280502,arcanut_processed
40,28,60,6.6588020900721965,arcanut_processed
50,25,50,7.1,atcanut_raw
58,19,47,6.798491798626061,atcanut_raw
50,26,50,7.097751813933369,atcanut_raw
50,25,50,7.1,brinjal
45,23,48,7.594174501598145,brinjal
41,32,58,7.465300409697596,brinjal
50,25,50,7.1,grapes
50,34,53,6.897555146444629,grapes
52,15,58,6.705829341088891,grapes
50,25,50,7.1,mango
60,30,55,7.4924320132573605,mango
56,28,43,7.286421200375974,mango
50,25,50,7.1,other_fresh_fruits
57,33,59,6.930793294070753,other_fresh_fruits
54,35,44,7.435338865927486,other_fresh_fruits
50,25,50,7.1,papaya
59,34,46,7.063215461113448,papaya
55,33,48,7.248802988228984,papaya
50,25,50,7.1,pome_fruit
43,34,51,7.578817495319855,pome_fruit
53,32,58,7.03573094336133,pome_fruit
50,25,50,7.1,tomato
46,33,53,7.508758891347105,tomato
46,34,42,6.8717282550308925,tomato
50,25,50,7.1,sweet_potato
41,31,50,7.427305413488945,sweet_potato
42,29,45,6.847785478318003,sweet_potato
50,25,50,7.1,black_pepper
47,26,52,6.812831185640129,black_pepper
59,28,45,7.517950573611546,black_pepper
50,25,50,7.1,cashewnut
56,33,53,7.583046626365007,cashewnut
50,31,41,6.759178117383363,cashewnut
50,25,50,7.1,ginger
40,15,52,7.549759744037098,ginger
52,27,47,6.997573935710569,ginger
50,25,50,7.1,tapioca
40,19,48,7.2764816256753875,tapioca
50,31,47,7.403780958367397,tapioca
50,25,50,7.1,tobacco
51,30,43,6.638942489460931,tobacco
42,25,59,7.199171076080903,tobacco
50,25,50,7.1,cardamom
55,17,50,7.072367134216607,cardamom
58,20,56,7.388477251197258,cardamom
50,25,50,7.1,sannhamp
44,21,53,7.327088260567328,sannhamp
47,21,55,7.016164579701735,sannhamp
50,25,50,7.1,coconut
47,15,53,7.09896733194249,coconut
48,24,54,7.175218590829255,coconut
50,25,50,7.1,dry_ginger
53,27,40,6.6829447848723635,dry_ginger
40,15,41,7.080599579952268,dry_ginger
75,25,75,5.2,coriander
72,26,76,5.072780698535904,coriander
83,19,82,5.653808566010435,coriander
75,25,75,5.2,garlic
69,22,67,5.390326619003339,garlic
71,22,85,4.968134402435143,garlic
75,25,75,5.2,sugarcane
75,23,70,5.2117817607721895,sugarcane
77,15,79,5.264997346024325,sugarcane
75,25,75,5.2,turmeric
75,27,84,5.565304443419291,turmeric
68,17,79,4.959355341346635,turmeric
75,25,75,5.2,dry_chillies
