crop,soil_type,nitrogen_kg_per_hectare,phosphorus_kg_per_hectare,potassium_kg_per_hectare,npk_ratio,primary_fertilizer,primary_fertilizer_kg_per_hectare,organic_manure,organic_manure_kg_per_hectare,secondary_nutrients,micronutrients,application_timing,total_cost_per_hectare,expected_yield_increase_percent,season,recommendation_source
banana_fiber,black_cotton,106,61,199,106-61-199,DAP,588,FYM,16000,"S: 22, Ca: 77, Mg: 27","Zn: 3, Fe: 13, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,88035,27,kharif,Agricultural University Guidelines
banana_fiber,red_yellow,141,66,217,141-66-217,DAP,783,FYM,19000,"S: 21, Ca: 97, Mg: 20","Zn: 4, Fe: 9, Mn: 5, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,75462,26,kharif,Agricultural University Guidelines
banana_fiber,laterite,153,71,199,153-71-199,SSP,443,Poultry Manure,21000,"S: 15, Ca: 77, Mg: 21","Zn: 3, Fe: 9, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,74957,16,kharif,Agricultural University Guidelines
banana_fiber,desert,129,51,162,129-51-162,SSP,318,Compost,22000,"S: 10, Ca: 95, Mg: 25","Zn: 7, Fe: 6, Mn: 3, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,110901,20,perennial,Agricultural University Guidelines
banana_fiber,mountain,141,56,181,141-56-181,MOP,301,FYM,18000,"S: 19, Ca: 117, Mg: 22","Zn: 5, Fe: 6, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,81267,26,both,Agricultural University Guidelines
banana_fiber,coastal,129,51,235,129-51-235,MOP,391,FYM,18000,"S: 23, Ca: 59, Mg: 20","Zn: 4, Fe: 5, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,97374,21,rabi,Agricultural University Guidelines
banana_fiber,hill,129,56,181,129-56-181,SSP,350,Poultry Manure,18000,"S: 19, Ca: 131, Mg: 11","Zn: 3, Fe: 7, Mn: 6, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,88308,16,both,Agricultural University Guidelines
banana_fiber,forest,118,61,181,118-61-181,DAP,655,Poultry Manure,12000,"S: 13, Ca: 131, Mg: 10","Zn: 7, Fe: 5, Mn: 3, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,64964,24,kharif,Agricultural University Guidelines
pineapple_fiber,alluvial,81,45,190,81-45-190,CAN,311,FYM,27000,"S: 24, Ca: 57, Mg: 18","Zn: 5, Fe: 13, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,82718,22,kharif,Agricultural University Guidelines
pineapple_fiber,black_cotton,72,54,209,72-54-209,CAN,276,Vermicompost,29000,"S: 22, Ca: 144, Mg: 11","Zn: 3, Fe: 11, Mn: 6, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,113603,23,rabi,Agricultural University Guidelines
pineapple_fiber,red_yellow,97,58,228,97-58-228,Urea,210,Vermicompost,35000,"S: 14, Ca: 58, Mg: 11","Zn: 4, Fe: 5, Mn: 3, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,105224,28,rabi,Agricultural University Guidelines
pineapple_fiber,laterite,105,62,209,105-62-209,NPK 19-19-19,552,Poultry Manure,37000,"S: 15, Ca: 112, Mg: 22","Zn: 3, Fe: 6, Mn: 3, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,153080,34,kharif,Agricultural University Guidelines
pineapple_fiber,desert,89,45,171,89-45-171,Urea,193,Neem Cake,40000,"S: 23, Ca: 51, Mg: 13","Zn: 7, Fe: 12, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,154647,36,perennial,Agricultural University Guidelines
pineapple_fiber,mountain,97,49,190,97-49-190,DAP,538,Compost,32000,"S: 10, Ca: 123, Mg: 13","Zn: 3, Fe: 14, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,80197,24,both,Agricultural University Guidelines
pineapple_fiber,coastal,89,45,247,89-45-247,DAP,494,Neem Cake,32000,"S: 15, Ca: 54, Mg: 16","Zn: 7, Fe: 7, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,121449,35,kharif,Agricultural University Guidelines
pineapple_fiber,hill,89,49,190,89-49-190,NPK 19-19-19,468,Poultry Manure,32000,"S: 14, Ca: 64, Mg: 29","Zn: 6, Fe: 7, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,149605,28,both,Agricultural University Guidelines
pineapple_fiber,forest,81,54,190,81-54-190,MOP,316,Vermicompost,21000,"S: 13, Ca: 76, Mg: 16","Zn: 7, Fe: 7, Mn: 3, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,74560,16,rabi,Agricultural University Guidelines
sugarcane,alluvial,200,100,100,200-100-100,CAN,769,Vermicompost,25000,"S: 10, Ca: 140, Mg: 24","Zn: 6, Fe: 10, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,96499,19,rabi,Agricultural University Guidelines
sugarcane,black_cotton,180,120,110,180-120-110,MOP,183,Vermicompost,27000,"S: 15, Ca: 90, Mg: 18","Zn: 7, Fe: 12, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,116612,35,kharif,Agricultural University Guidelines
sugarcane,red_yellow,240,130,120,240-130-120,SSP,812,Neem Cake,32000,"S: 18, Ca: 65, Mg: 10","Zn: 4, Fe: 6, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,176110,23,kharif,Agricultural University Guidelines
sugarcane,laterite,260,140,110,260-140-110,CAN,1000,Poultry Manure,35000,"S: 18, Ca: 149, Mg: 13","Zn: 6, Fe: 8, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,144972,39,perennial,Agricultural University Guidelines
sugarcane,desert,220,100,90,220-100-90,CAN,846,Compost,37000,"S: 17, Ca: 103, Mg: 20","Zn: 4, Fe: 13, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,127955,16,rabi,Agricultural University Guidelines
sugarcane,mountain,240,110,100,240-110-100,CAN,923,Compost,30000,"S: 24, Ca: 100, Mg: 21","Zn: 6, Fe: 11, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,178872,16,both,Agricultural University Guidelines
sugarcane,coastal,220,100,130,220-100-130,NPK 20-20-20,1100,Poultry Manure,30000,"S: 15, Ca: 84, Mg: 10","Zn: 3, Fe: 11, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,147157,20,both,Agricultural University Guidelines
sugarcane,hill,220,110,100,220-110-100,CAN,846,Compost,30000,"S: 10, Ca: 114, Mg: 25","Zn: 6, Fe: 11, Mn: 3, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,134817,29,perennial,Agricultural University Guidelines
sugarcane,forest,200,120,100,200-120-100,DAP,1111,FYM,20000,"S: 13, Ca: 51, Mg: 20","Zn: 5, Fe: 9, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,128199,22,both,Agricultural University Guidelines
sugar_beet,alluvial,66,55,51,66-55-51,NPK 19-19-19,347,Vermicompost,8000,"S: 15, Ca: 58, Mg: 14","Zn: 6, Fe: 12, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,37028,20,perennial,Agricultural University Guidelines
sugar_beet,black_cotton,59,66,56,59-66-56,Urea,128,Vermicompost,8000,"S: 24, Ca: 120, Mg: 14","Zn: 6, Fe: 8, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,39182,34,rabi,Agricultural University Guidelines
sugar_beet,red_yellow,79,71,61,79-71-61,Urea,171,FYM,10000,"S: 18, Ca: 64, Mg: 16","Zn: 5, Fe: 13, Mn: 6, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,38507,28,perennial,Agricultural University Guidelines
sugar_beet,laterite,85,77,56,85-77-56,NPK 19-19-19,447,Compost,11000,"S: 16, Ca: 129, Mg: 28","Zn: 5, Fe: 10, Mn: 6, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,39840,35,kharif,Agricultural University Guidelines
sugar_beet,desert,72,55,45,72-55-45,NPK 19-19-19,378,Poultry Manure,12000,"S: 17, Ca: 91, Mg: 25","Zn: 4, Fe: 6, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,46270,16,kharif,Agricultural University Guidelines
sugar_beet,mountain,79,60,51,79-60-51,CAN,303,Neem Cake,9000,"S: 19, Ca: 131, Mg: 14","Zn: 7, Fe: 6, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,31103,32,perennial,Agricultural University Guidelines
sugar_beet,coastal,72,55,66,72-55-66,MOP,110,Poultry Manure,9000,"S: 23, Ca: 130, Mg: 10","Zn: 3, Fe: 7, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,21886,30,both,Agricultural University Guidelines
sugar_beet,hill,72,60,51,72-60-51,CAN,276,Compost,9000,"S: 20, Ca: 124, Mg: 20","Zn: 3, Fe: 8, Mn: 3, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,36555,32,perennial,Agricultural University Guidelines
sugar_beet,forest,66,66,51,66-66-51,MOP,85,FYM,6000,"S: 17, Ca: 80, Mg: 28","Zn: 7, Fe: 7, Mn: 3, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,17300,27,both,Agricultural University Guidelines
sweet_sorghum,alluvial,101,71,52,101-71-52,CAN,388,FYM,9000,"S: 11, Ca: 80, Mg: 27","Zn: 6, Fe: 5, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,57713,28,rabi,Agricultural University Guidelines
sweet_sorghum,black_cotton,90,85,57,90-85-57,SSP,531,Compost,9000,"S: 11, Ca: 75, Mg: 21","Zn: 6, Fe: 8, Mn: 5, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,41567,34,rabi,Agricultural University Guidelines
sweet_sorghum,red_yellow,121,92,62,121-92-62,MOP,103,Vermicompost,11000,"S: 11, Ca: 64, Mg: 10","Zn: 5, Fe: 5, Mn: 5, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,46506,26,rabi,Agricultural University Guidelines
sweet_sorghum,laterite,131,99,57,131-99-57,NPK 19-19-19,689,Compost,12000,"S: 18, Ca: 94, Mg: 23","Zn: 3, Fe: 14, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,58394,24,perennial,Agricultural University Guidelines
sweet_sorghum,desert,111,71,46,111-71-46,NPK 19-19-19,584,FYM,13000,"S: 11, Ca: 138, Mg: 29","Zn: 7, Fe: 13, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,45122,17,rabi,Agricultural University Guidelines
sweet_sorghum,mountain,121,78,52,121-78-52,DAP,672,Vermicompost,10000,"S: 18, Ca: 149, Mg: 17","Zn: 4, Fe: 7, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,50081,25,both,Agricultural University Guidelines
sweet_sorghum,coastal,111,71,67,111-71-67,NPK 20-20-20,555,Compost,10000,"S: 22, Ca: 128, Mg: 21","Zn: 3, Fe: 11, Mn: 3, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,46770,20,both,Agricultural University Guidelines
sweet_sorghum,hill,111,78,52,111-78-52,NPK 20-20-20,555,FYM,10000,"S: 18, Ca: 129, Mg: 16","Zn: 3, Fe: 8, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,67436,29,rabi,Agricultural University Guidelines
sweet_sorghum,forest,101,85,52,101-85-52,Urea,219,Neem Cake,7000,"S: 22, Ca: 75, Mg: 14","Zn: 6, Fe: 5, Mn: 3, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,25168,22,kharif,Agricultural University Guidelines
sugar_palm,alluvial,84,50,73,84-50-73,SSP,312,Neem Cake,16000,"S: 23, Ca: 126, Mg: 24","Zn: 7, Fe: 7, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,64769,19,kharif,Agricultural University Guidelines
sugar_palm,black_cotton,75,60,80,75-60-80,CAN,288,Neem Cake,17000,"S: 16, Ca: 113, Mg: 16","Zn: 7, Fe: 14, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,61860,28,perennial,Agricultural University Guidelines
sugar_palm,red_yellow,100,65,87,100-65-87,Urea,217,Neem Cake,20000,"S: 12, Ca: 78, Mg: 20","Zn: 4, Fe: 10, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,103626,25,perennial,Agricultural University Guidelines
sugar_palm,laterite,109,70,80,109-70-80,CAN,419,Neem Cake,22000,"S: 19, Ca: 131, Mg: 16","Zn: 3, Fe: 11, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,108697,35,perennial,Agricultural University Guidelines
sugar_palm,desert,92,50,65,92-50-65,DAP,511,Poultry Manure,24000,"S: 19, Ca: 81, Mg: 25","Zn: 7, Fe: 10, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,77604,32,kharif,Agricultural University Guidelines
sugar_palm,mountain,100,55,73,100-55-73,NPK 20-20-20,500,Vermicompost,19000,"S: 17, Ca: 76, Mg: 26","Zn: 3, Fe: 11, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,102304,37,both,Agricultural University Guidelines
sugar_palm,coastal,92,50,94,92-50-94,MOP,156,Compost,19000,"S: 23, Ca: 60, Mg: 18","Zn: 7, Fe: 6, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,46651,39,both,Agricultural University Guidelines
sugar_palm,hill,92,55,73,92-55-73,DAP,511,Poultry Manure,19000,"S: 20, Ca: 82, Mg: 20","Zn: 4, Fe: 7, Mn: 6, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,79783,27,rabi,Agricultural University Guidelines
sugar_palm,forest,84,60,73,84-60-73,DAP,466,FYM,12000,"S: 16, Ca: 133, Mg: 23","Zn: 3, Fe: 13, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,45965,22,kharif,Agricultural University Guidelines
date_palm_sugar,alluvial,109,57,76,109-57-76,DAP,605,Neem Cake,17000,"S: 24, Ca: 138, Mg: 26","Zn: 3, Fe: 13, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,59561,34,rabi,Agricultural University Guidelines
date_palm_sugar,black_cotton,98,68,83,98-68-83,CAN,376,Poultry Manure,18000,"S: 12, Ca: 93, Mg: 27","Zn: 3, Fe: 8, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,87503,22,rabi,Agricultural University Guidelines
date_palm_sugar,red_yellow,130,74,91,130-74-91,NPK 20-20-20,650,FYM,22000,"S: 15, Ca: 107, Mg: 10","Zn: 4, Fe: 6, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,85444,32,kharif,Agricultural University Guidelines
date_palm_sugar,laterite,141,79,83,141-79-83,CAN,542,Vermicompost,23000,"S: 17, Ca: 64, Mg: 14","Zn: 3, Fe: 5, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,100444,17,rabi,Agricultural University Guidelines
date_palm_sugar,desert,119,57,68,119-57-68,NPK 19-19-19,626,Poultry Manure,25000,"S: 13, Ca: 93, Mg: 15","Zn: 4, Fe: 11, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,89948,23,rabi,Agricultural University Guidelines
date_palm_sugar,mountain,130,62,76,130-62-76,DAP,722,Neem Cake,20000,"S: 14, Ca: 96, Mg: 11","Zn: 4, Fe: 5, Mn: 6, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,61579,37,kharif,Agricultural University Guidelines
date_palm_sugar,coastal,119,57,98,119-57-98,NPK 20-20-20,595,Vermicompost,20000,"S: 23, Ca: 135, Mg: 10","Zn: 3, Fe: 5, Mn: 5, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,82638,23,kharif,Agricultural University Guidelines
date_palm_sugar,hill,119,62,76,119-62-76,CAN,457,Neem Cake,20000,"S: 23, Ca: 132, Mg: 17","Zn: 5, Fe: 13, Mn: 3, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,66173,24,rabi,Agricultural University Guidelines
date_palm_sugar,forest,109,68,76,109-68-76,MOP,126,Neem Cake,13000,"S: 13, Ca: 123, Mg: 14","Zn: 3, Fe: 7, Mn: 3, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,46956,32,perennial,Agricultural University Guidelines
coconut_palm_sugar,alluvial,105,53,89,105-53-89,NPK 20-20-20,525,Compost,11000,"S: 19, Ca: 124, Mg: 28","Zn: 4, Fe: 12, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,35681,15,kharif,Agricultural University Guidelines
coconut_palm_sugar,black_cotton,94,63,97,94-63-97,SSP,393,Vermicompost,12000,"S: 15, Ca: 50, Mg: 19","Zn: 4, Fe: 9, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,37843,38,perennial,Agricultural University Guidelines
coconut_palm_sugar,red_yellow,126,68,106,126-68-106,Urea,273,FYM,14000,"S: 10, Ca: 116, Mg: 12","Zn: 3, Fe: 13, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,46078,26,rabi,Agricultural University Guidelines
coconut_palm_sugar,laterite,136,74,97,136-74-97,MOP,161,FYM,15000,"S: 18, Ca: 79, Mg: 20","Zn: 6, Fe: 5, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,58174,31,rabi,Agricultural University Guidelines
coconut_palm_sugar,desert,115,53,80,115-53-80,CAN,442,Poultry Manure,16000,"S: 19, Ca: 100, Mg: 18","Zn: 3, Fe: 13, Mn: 5, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,43916,22,both,Agricultural University Guidelines
coconut_palm_sugar,mountain,126,58,89,126-58-89,MOP,148,FYM,13000,"S: 13, Ca: 116, Mg: 20","Zn: 5, Fe: 6, Mn: 5, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,30822,25,kharif,Agricultural University Guidelines
coconut_palm_sugar,coastal,115,53,115,115-53-115,MOP,191,Vermicompost,13000,"S: 16, Ca: 114, Mg: 23","Zn: 5, Fe: 6, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,55324,25,perennial,Agricultural University Guidelines
coconut_palm_sugar,hill,115,58,89,115-58-89,NPK 19-19-19,605,Neem Cake,13000,"S: 23, Ca: 98, Mg: 27","Zn: 7, Fe: 5, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,68312,17,both,Agricultural University Guidelines
coconut_palm_sugar,forest,105,63,89,105-63-89,CAN,403,FYM,8000,"S: 24, Ca: 138, Mg: 13","Zn: 3, Fe: 10, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,31030,23,kharif,Agricultural University Guidelines
palmyra_palm_sugar,alluvial,61,52,47,61-52-47,Urea,132,Compost,10000,"S: 18, Ca: 83, Mg: 12","Zn: 4, Fe: 8, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,44820,18,perennial,Agricultural University Guidelines
palmyra_palm_sugar,black_cotton,54,62,51,54-62-51,Urea,117,Poultry Manure,11000,"S: 11, Ca: 69, Mg: 16","Zn: 4, Fe: 10, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,51057,32,rabi,Agricultural University Guidelines
palmyra_palm_sugar,red_yellow,73,67,56,73-67-56,CAN,280,FYM,13000,"S: 18, Ca: 78, Mg: 27","Zn: 3, Fe: 13, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,50016,27,perennial,Agricultural University Guidelines
palmyra_palm_sugar,laterite,79,72,51,79-72-51,CAN,303,FYM,14000,"S: 13, Ca: 65, Mg: 10","Zn: 7, Fe: 7, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,78051,16,perennial,Agricultural University Guidelines
palmyra_palm_sugar,desert,67,52,42,67-52-42,CAN,257,Poultry Manure,15000,"S: 18, Ca: 141, Mg: 10","Zn: 7, Fe: 14, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,72497,27,kharif,Agricultural University Guidelines
palmyra_palm_sugar,mountain,73,57,47,73-57-47,Urea,158,Compost,12000,"S: 16, Ca: 80, Mg: 12","Zn: 5, Fe: 11, Mn: 3, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,61634,28,perennial,Agricultural University Guidelines
palmyra_palm_sugar,coastal,67,52,61,67-52-61,SSP,325,Poultry Manure,12000,"S: 14, Ca: 149, Mg: 21","Zn: 4, Fe: 8, Mn: 5, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,33314,26,perennial,Agricultural University Guidelines
palmyra_palm_sugar,hill,67,57,47,67-57-47,CAN,257,Poultry Manure,12000,"S: 11, Ca: 145, Mg: 18","Zn: 7, Fe: 8, Mn: 3, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,64660,32,perennial,Agricultural University Guidelines
palmyra_palm_sugar,forest,61,62,47,61-62-47,CAN,234,Vermicompost,8000,"S: 11, Ca: 110, Mg: 27","Zn: 6, Fe: 8, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,23680,18,kharif,Agricultural University Guidelines
maple_sugar,alluvial,106,52,62,106-52-62,CAN,407,FYM,14000,"S: 13, Ca: 61, Mg: 10","Zn: 7, Fe: 8, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,66151,25,both,Agricultural University Guidelines
maple_sugar,black_cotton,95,62,68,95-62-68,CAN,365,Compost,15000,"S: 15, Ca: 81, Mg: 24","Zn: 4, Fe: 8, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,40837,25,perennial,Agricultural University Guidelines
maple_sugar,red_yellow,127,67,74,127-67-74,MOP,123,Vermicompost,18000,"S: 13, Ca: 121, Mg: 17","Zn: 4, Fe: 13, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,51743,15,rabi,Agricultural University Guidelines
maple_sugar,laterite,137,72,68,137-72-68,NPK 19-19-19,721,Poultry Manure,19000,"S: 19, Ca: 140, Mg: 21","Zn: 3, Fe: 5, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,67460,28,rabi,Agricultural University Guidelines
maple_sugar,desert,116,52,55,116-52-55,DAP,644,Vermicompost,21000,"S: 19, Ca: 107, Mg: 21","Zn: 7, Fe: 13, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,76194,30,rabi,Agricultural University Guidelines
maple_sugar,mountain,127,57,62,127-57-62,NPK 19-19-19,668,Neem Cake,16000,"S: 22, Ca: 94, Mg: 22","Zn: 4, Fe: 8, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,67858,22,rabi,Agricultural University Guidelines
maple_sugar,coastal,116,52,80,116-52-80,NPK 20-20-20,580,Poultry Manure,16000,"S: 10, Ca: 118, Mg: 12","Zn: 6, Fe: 6, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,72525,18,both,Agricultural University Guidelines
maple_sugar,hill,116,57,62,116-57-62,NPK 19-19-19,610,FYM,16000,"S: 20, Ca: 81, Mg: 23","Zn: 5, Fe: 6, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,90127,28,perennial,Agricultural University Guidelines
maple_sugar,forest,106,62,62,106-62-62,MOP,103,Compost,11000,"S: 21, Ca: 67, Mg: 10","Zn: 4, Fe: 12, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,43287,21,rabi,Agricultural University Guidelines
turmeric,alluvial,60,50,120,60-50-120,MOP,200,FYM,15000,"S: 22, Ca: 147, Mg: 21","Zn: 3, Fe: 7, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,53588,33,kharif,Agricultural University Guidelines
